"","Estimate","Robust SE"
"Age",-0.0105723259610007,0.00659834313562565
"Age^2",0.000158016138954084,8.00728619637503e-05
"Male",-0.208520012396282,0.02091179334331
"Education",-0.00576402520491088,0.00370168684600125
"Married",0.0807752520140995,0.0222603024820829
"Househould size",-0.0522052984048812,0.0077714702867278
"Active Sport",0.0465699357336725,0.0193492678288238
"Good health",-0.610884205345332,0.0190118736636673
"Bad health",0.813108033297351,0.0224998376987835
"Social assistance",0.0860960121507862,0.0444350158764351
"Log(income)",0.0931194921782207,0.0228598108902824
"Year=1996",0.00121754055530317,0.0267629961672868
"Year=1997",-0.0302387300635334,0.0268885268795206
"Year=1998",-0.104811675532268,0.0268059977832548
"Year=1999",-0.098684443784466,0.02726093735342
