"","Estimate","Robust SE"
"Age",-0.00926790117976922,0.00574785676999481
"Age^2",0.000188454819359524,7.00197197245577e-05
"Male",-0.294803412357386,0.0202796768101553
"Education",-0.00423840399866502,0.00408367398586814
"Married",0.0773282850566588,0.0180937266101233
"Househould size",-0.0554746692823763,0.0059617047491959
"Active Sport",0.00614410346256207,0.0125661759837615
"Good health",-0.501350080375274,0.0118323322057576
"Bad health",0.622515126651827,0.0121603143763239
"Social assistance",0.0405303261790029,0.026404192738758
"Log(income)",0.0173742593413996,0.0159777564787425
"Year=1996",-0.0141918850042733,0.0110971055852108
"Year=1997",-0.0502742932867973,0.0114270470818635
"Year=1998",-0.106151877186293,0.0118667701938512
"Year=1999",-0.106847557017167,0.0123343102228286
